,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
177,4915  ,致伸            ,"80,000","359,782","-279,782"
178,2412  ,中華電          ,"300,000","579,000","-279,000"
179,6449  ,鈺邦            ,0,"270,000","-270,000"
180,6269  ,台郡            ,0,"263,504","-263,504"
181,2889  ,國票金          ,"1,000","243,000","-242,000"
182,5388  ,中磊            ,"24,000","264,000","-240,000"
183,3017  ,奇鋐            ,"30,000","265,000","-235,000"
184,6176  ,瑞儀            ,"32,000","263,549","-231,549"
185,6412  ,群電            ,0,"209,000","-209,000"
186,3037  ,欣興            ,"37,000","235,000","-198,000"
187,3533  ,嘉澤            ,"4,000","201,000","-197,000"
188,1773  ,勝一            ,"110,000","302,000","-192,000"
189,2812  ,台中銀          ,0,"183,000","-183,000"
190,3231  ,緯創            ,"317,000","495,000","-178,000"
191,1101  ,台泥            ,"763,000","929,000","-166,000"
192,6285  ,啟碁            ,"3,000","164,000","-161,000"
193,6191  ,精成科          ,0,"151,000","-151,000"
194,2031  ,新光鋼          ,0,"141,000","-141,000"
195,2105  ,正新            ,"869,808","1,003,000","-133,192"
196,2474  ,可成            ,"131,000","253,582","-122,582"
197,3015  ,全漢            ,0,"108,000","-108,000"
198,8467  ,波力-KY         ,0,"102,000","-102,000"
199,2059  ,川湖            ,0,"101,000","-101,000"
200,3042  ,晶技            ,"30,000","129,810","-99,810"
201,2608  ,嘉里大榮        ,0,"90,000","-90,000"
202,2313  ,華通            ,"3,000","91,000","-88,000"
203,5269  ,祥碩            ,"58,000","143,000","-85,000"
204,2015  ,豐興            ,0,"84,000","-84,000"
205,3035  ,智原            ,"2,000","81,000","-79,000"
206,2897  ,王道銀行        ,0,"77,000","-77,000"
207,9924  ,福興            ,0,"72,000","-72,000"
208,1102  ,亞泥            ,"42,493","114,000","-71,507"
209,2845  ,遠東銀          ,"103,000","174,000","-71,000"
210,6789  ,采鈺            ,"18,000","88,000","-70,000"
211,3443  ,創意            ,0,"68,000","-68,000"
212,2404  ,漢唐            ,"21,062","86,000","-64,938"
213,6863  ,永道-KY         ,0,"60,000","-60,000"
214,6805  ,富世達          ,"3,000","61,000","-58,000"
215,3014  ,聯陽            ,0,"56,028","-56,028"
216,2637  ,慧洋-KY         ,"4,000","59,000","-55,000"
217,4961  ,天鈺            ,0,"53,242","-53,242"
218,8213  ,志超            ,0,"50,000","-50,000"
219,8016  ,矽創            ,0,"49,429","-49,429"
220,6189  ,豐藝            ,0,"48,000","-48,000"
221,3010  ,華立            ,"37,000","84,341","-47,341"
222,6670  ,復盛應用        ,0,"44,000","-44,000"
223,6414  ,樺漢            ,0,"43,000","-43,000"
224,8112  ,至上            ,"135,000","177,610","-42,610"
225,2027  ,大成鋼          ,"44,000","86,000","-42,000"
226,2327  ,國巨            ,"11,000","53,000","-42,000"
227,2606  ,裕民            ,"2,000","44,000","-42,000"
228,1717  ,長興            ,"3,000","43,000","-40,000"
229,8996  ,高力            ,0,"40,000","-40,000"
230,8422  ,可寧衛          ,0,"38,000","-38,000"
231,8081  ,致新            ,"13,000","48,227","-35,227"
232,1560  ,中砂            ,"19,000","54,000","-35,000"
233,2458  ,義隆            ,0,"31,000","-31,000"
234,2912  ,統一超          ,"25,832","52,000","-26,168"
235,2915  ,潤泰全          ,"6,000","32,000","-26,000"
236,6415  ,矽力*-KY        ,"4,000","29,000","-25,000"
237,2207  ,和泰車          ,"7,000","30,000","-23,000"
238,1477  ,聚陽            ,"5,000","26,000","-21,000"
239,3413  ,京鼎            ,0,"20,000","-20,000"
240,9925  ,新保            ,0,"20,000","-20,000"
241,2548  ,華固            ,0,"19,000","-19,000"
242,6139  ,亞翔            ,0,"17,000","-17,000"
243,3481  ,群創            ,"19,000","35,000","-16,000"
244,4438  ,廣越            ,0,"15,000","-15,000"
245,2206  ,三陽工業        ,"27,153","38,000","-10,847"
246,2247  ,汎德永業        ,0,"10,000","-10,000"
247,2617  ,台航            ,0,"10,000","-10,000"
248,4736  ,泰博            ,0,"10,000","-10,000"
249,4770  ,上品            ,0,"10,000","-10,000"
250,6281  ,全國電          ,0,"10,000","-10,000"
251,6890  ,來億-KY         ,"46,000","55,833","-9,833"
252,8150  ,南茂            ,0,"9,336","-9,336"
253,6446  ,藥華藥          ,"15,000","24,000","-9,000"
254,3033  ,威健            ,0,"8,489","-8,489"
255,3209  ,全科            ,0,"8,334","-8,334"
256,2451  ,創見            ,"2,000","9,132","-7,132"
257,5471  ,松翰            ,0,"7,066","-7,066"
258,2352  ,佳世達          ,"4,000","11,060","-7,060"
259,9910  ,豐泰            ,"7,529","14,000","-6,471"
260,8163  ,達方            ,0,"6,392","-6,392"
261,3023  ,信邦            ,"1,000","7,000","-6,000"
262,8070  ,長華*           ,0,"5,830","-5,830"
263,4763  ,材料-KY         ,525,"6,000","-5,475"
264,1720  ,生達            ,0,"5,000","-5,000"
