股票代號,公司名稱,上市/櫃,今日價格,前9日加總買賣超,當日投信買賣超
4577,達航科技,1,27.80,0,0
4580,捷流閥業,1,95.20,0,0
4584,君帆,1,62.50,0,0
4609,唐鋒,1,8.25,0,0
4702,中美實,1,12.50,0,0
4706,大恭,1,32.55,0,0
4707,磐亞,1,13.95,0,0
4711,永純,1,14.90,0,0
4714,永捷,1,16.20,0,0
4716,大立,1,21.00,0,0
4721,美琪瑪,1,63.50,0,0
4726,永昕,1,44.70,0,0
4728,雙美,1,274.00,0,0
4729,熒茂,1,24.40,0,0
4735,豪展,1,38.25,0,0
4741,泓瀚,1,35.40,0,0
4743,合一,1,78.50,0,0
4744,皇將,1,22.05,0,0
4745,合富-KY,1,20.15,0,0
4747,強生,1,70.30,0,0
4749,新應材,1,650.00,12,0
4754,國碳科,1,41.05,0,0
4760,勤凱,1,116.50,0,0
4767,誠泰科技,1,33.70,0,0
4768,晶呈科技,1,171.00,-61,-91
4772,台特化,1,246.00,17,0
4804,大略-KY,1,,0,0
4806,桂田文創,1,10.90,0,0
4903,聯光通,1,38.50,0,0
4905,台聯電,1,77.30,0,0
4907,富宇,1,66.80,0,0
4908,前鼎,1,99.10,0,0
4909,新復興,1,103.50,0,0
4911,德英,1,57.90,0,0
4923,力士,1,33.90,0,0
4924,欣厚-KY,1,19.95,0,0
4931,新盛力,1,69.40,0,0
4933,友輝,1,80.50,0,0
4939,亞電,1,20.45,0,0
4945,陞達科技,1,81.00,0,0
4946,辣椒,1,50.20,0,0
4950,牧東,1,12.75,0,0
4951,精拓科,1,74.10,0,0
4953,緯軟,1,118.00,0,0
4966,譜瑞-KY,1,726.00,-242,-35
4971,IET-KY,1,113.50,0,0
4972,湯石照明,1,25.30,0,0
4973,廣穎,1,33.00,0,0
4974,亞泰,1,124.00,0,0
4979,華星光,1,250.50,6511,99
4987,科誠,1,90.30,0,0
4991,環宇-KY,1,145.00,107,0
4995,晶達,1,72.30,0,0
5009,榮剛,1,49.40,1745,-20
5011,久陽,1,20.30,0,0
5013,強新,1,30.50,0,0
5014,建錩,1,14.55,0,0
5015,華祺,1,36.20,0,0
5016,松和,1,27.75,0,0
5201,凱衛,1,36.60,0,0
5202,力新,1,28.70,0,0
5205,中茂,1,27.55,0,0
5206,坤悅,1,41.10,0,0
5209,新鼎,1,172.00,-1,-1
5210,寶碩,1,26.55,0,0
5211,蒙恬,1,28.70,0,0
5212,凌網,1,62.90,0,0
5213,亞昕,1,31.30,0,0
5220,萬達光電,1,21.05,0,0
5223,安力-KY,1,30.20,0,0
5227,立凱-KY,1,39.40,0,0
5228,鈺鎧,1,19.55,0,0
5230,雷笛克光學,1,25.70,0,0
5236,凌陽創新,1,158.00,0,0
5245,智晶,1,32.90,0,0
5251,天鉞電,1,23.30,0,0
5263,智崴,1,149.50,0,0
5272,笙科,1,27.75,0,0
5274,信驊,1,3760.00,-109,-99
5276,達輝-KY,1,18.70,0,0
5278,尚凡*,1,38.40,0,0
5287,數字,1,187.00,0,0
5289,宜鼎,1,241.00,91,171
5291,邑昇,1,25.05,0,0
5299,杰力,1,91.00,0,0
5301,寶得利,1,11.35,0,0
5302,太欣,1,9.67,0,0
5309,系統電,1,40.05,0,0
5310,天剛,1,47.85,0,0
5312,寶島科,1,125.50,0,0
5314,世紀,1,897.00,0,0
5315,光聯,1,20.70,0,0
5321,美而快,1,57.30,0,0
5324,士開,1,11.85,0,0
5328,華容,1,16.65,0,0
5340,建榮,1,43.60,0,0
5344,立衛,1,17.20,0,0
5345,天揚,1,26.00,0,0
5347,世界,1,88.20,-6813,-427
5348,正能量智能,1,24.30,0,0
5351,鈺創,1,33.20,0,0
5353,台林,1,33.10,0,0
5355,佳總,1,10.10,0,0
5356,協益,1,30.40,0,0
5364,力麗店,1,26.25,0,0
5371,中光電,1,83.20,326,-46
5381,合正,1,20.85,0,0
5386,青雲,1,78.60,0,0
5392,能率,1,36.80,0,0
5398,慕康生醫,1,18.35,0,0
5403,中菲,1,133.00,0,0
5410,國眾,1,31.20,0,0
5425,台半,1,53.90,-35,0
5426,振發,1,29.40,0,0
5432,新門,1,134.00,0,0
5438,東友,1,24.50,0,0
5439,高技,1,117.50,185,0
5443,均豪,1,94.40,0,0
5450,南良,1,17.70,0,0
5452,佶優,1,29.80,0,0
5455,昇益,1, ---,0,0
5457,宣德,1,50.90,0,0
5460,同協,1,15.35,0,0
5464,霖宏,1,25.90,0,0
5465,富驊,1,39.35,0,0
5468,凱鈺,1,23.50,0,0
5474,聰泰,1,207.00,0,0
5475,德宏,1,13.50,0,0
5478,智冠,1,123.00,-3,-3
5481,新華,1,32.00,0,0
5483,中美晶,1,114.00,-2686,-241
5487,通泰,1,33.90,0,0
5488,松普,1,12.15,0,0
5489,彩富,1,39.45,0,0
5490,同亨,1,25.15,0,0
5493,三聯,1,82.00,0,0
5498,凱崴,1,10.80,0,0
5508,永信建,1,131.00,-63,-7
5511,德昌,1,63.20,0,0
5512,力麒,1,9.98,0,0
5514,三豐,1,19.75,0,0
5516,雙喜,1,18.55,0,0
5520,力泰,1,82.70,0,0
5523,豐謙,1,30.00,0,0
5529,鉅陞,1,28.90,0,0
5530,龍巖,1,56.80,0,0
5536,聖暉*,1,439.50,116,-7
5543,桓鼎-KY,1,21.80,0,0
5548,安倉,1,28.55,0,0
5601,台聯櫃,1,36.20,0,0
5603,陸海,1,25.95,0,0
5604,中連,1,44.60,0,0
5609,中菲行,1,80.30,-3,-5
5701,劍湖山,1,4.80,0,0
5703,亞都,1,18.45,0,0
5704,老爺知,1,34.15,0,0
5864,致和證,1,14.30,0,0
5878,台名,1,45.85,0,0
5902,德記,1,40.10,0,0
5903,全家,1,188.50,-3,-3
5904,寶雅,1,478.50,-20,-3
5905,南仁湖,1,13.90,0,0
6015,宏遠證,1,10.90,0,0
6016,康和證,1,14.35,0,0
6020,大展證,1,19.05,0,0
6021,美好證,1,23.85,0,0
6023,元大期,1,86.80,-107,-2
6026,福邦證,1,12.60,0,0
6101,寬魚國際,1,40.15,0,0
6103,合邦,1,48.80,0,0
6104,創惟,1,177.00,875,0
6109,亞元,1,12.20,0,0
6111,大宇資,1,56.60,0,0
6113,亞矽,1,21.15,0,0
6114,久威,1,35.70,0,0
6118,建達,1,22.55,0,0
6121,新普,1,365.50,-510,-96
6122,擎邦,1,52.50,0,0
6123,上奇,1,58.50,0,0
6124,業強,1,30.50,0,0
6125,廣運,1,82.10,-1,0
6126,信音,1,28.20,0,0
6127,九豪,1,26.85,0,0
6129,普誠,1,16.10,0,0
6130,上亞科技,1,23.00,0,0
6134,萬旭,1,30.00,0,0
6138,茂達,1,176.50,-275,-150
6140,訊達,1,36.05,0,0
6143,振曜,1,131.00,11,0
6144,得利影,1,30.65,0,0
6146,耕興,1,203.50,-17,-8
6147,頎邦,1,64.10,-126,-363
6148,驊宏資,1,39.95,0,0
6150,撼訊,1,71.40,0,0
6151,晉倫,1,38.85,0,0
6154,順發,1,15.95,0,0
6156,松上,1,27.55,0,0
6158,禾昌,1,28.45,0,0
6160,欣技,1,25.85,0,0
6161,捷波,1,46.55,0,0
6163,華電網,1,22.15,0,0
6167,久正,1,13.20,0,0
6169,昱泉,1,19.80,0,0
6170,統振,1,52.10,0,0
6171,大城地產,1,39.35,0,0
6173,信昌電,1,43.70,0,0
6174,安碁,1,22.60,0,0
6175,立敦,1,42.70,0,0
6179,亞通,1,27.80,0,0
6180,橘子,1,75.60,213,0
6182,合晶,1,24.20,-186,-114
6185,幃翔,1,15.20,0,0
6186,新潤,1,59.80,0,0
6187,萬潤,1,403.00,266,0
6188,廣明,1,104.50,-922,0
6190,萬泰科,1,34.70,0,0
6194,育富,1,35.75,0,0
6195,詩肯,1,33.00,0,0
6198,瑞築,1,41.90,0,0
6199,天品,1,134.50,0,0
6203,海韻電,1,75.20,0,0
6204,艾華,1,62.70,0,0
6207,雷科,1,57.20,0,0
6208,日揚,1,49.35,643,0
6210,慶生,1,19.55,0,0
6212,理銘,1,59.60,0,0
6217,中探針,1,36.45,0,0
6218,豪勉,1,29.10,0,0
6219,富旺,1,40.55,0,0
6220,岳豐,1,25.10,0,0
6221,晉泰,1,69.90,0,0
6222,立軒,1,28.90,0,0
6223,旺矽,1,849.00,-1246,74
6227,茂綸,1,84.10,0,0
6228,全譜,1,22.40,0,0
6229,研通,1,29.85,0,0
6231,系微,1,439.50,995,102
6233,旺玖,1,26.30,0,0
6234,高僑,1,26.15,0,0
6236,中湛,1, ---,0,0
6237,驊訊,1,57.50,0,0
6240,松崗,1,20.85,0,0
6241,易通展,1,15.10,0,0
6242,立康,1,41.85,0,0
6244,茂迪,1,20.90,0,0
6245,立端,1,114.50,830,50
6246,臺龍,1,15.20,0,0
6248,沛波,1,27.90,0,0
6259,百徽,1,19.30,0,0
6261,久元,1,61.50,-37,-16
6263,普萊德,1,153.00,0,0
6264,富裔,1,9.27,0,0
6265,方土昶,1,10.70,0,0
6266,泰詠,1,31.60,0,0
6270,倍微,1,25.40,0,0
6274,台燿,1,163.50,258,-18
6275,元山,1,46.35,0,0
6276,安鈦克,1,29.65,0,0
6279,胡連,1,189.50,259,345
6284,佳邦,1,82.00,-1,0
6287,元隆,1, ---,0,0
6290,良維,1,83.50,0,0
6291,沛亨,1,95.80,0,0
6292,迅德,1,53.70,0,0
6294,智基,1,60.40,0,0
6411,晶焱,1,86.50,0,0
6417,韋僑,1,100.50,0,0
6418,詠昇,1,19.95,0,0
6419,京晨科,1,102.00,0,0
6425,易發,1,64.00,0,0
6432,今展科,1,28.30,0,0
6435,大中,1,105.50,0,0
6441,廣錠,1,33.60,0,0
6461,益得,1,27.00,0,0
6462,神盾,1,159.50,0,0
6465,威潤,1,19.20,0,0
6469,大樹,1,156.50,0,0
6470,宇智,1,51.20,0,0
6482,弘煜科,1,52.70,0,0
6485,點序,1,61.30,0,0
6486,互動,1,82.70,0,0
6488,環球晶,1,325.00,-840,-194
6492,生華科,1,44.20,0,0
6494,九齊,1,49.65,0,0
6496,科懋,1,33.20,0,0
6499,益安,1,41.00,0,0
6506,雙邦,1,17.00,0,0
6508,惠光,1,29.20,0,0
6509,聚和,1,38.10,0,0
6510,精測,1,786.00,265,11
6512,啟發電,1,23.00,0,0
6516,勤崴國際,1,71.50,0,0
6517,保勝光學,1,65.60,0,0
6523,達爾膚,1,148.00,0,0
6527,明達醫,1,83.20,0,0
6530,創威,1,66.90,0,0
6532,瑞耘,1,69.80,0,0
6535,順藥,1,258.50,408,0
6538,倉和,1,102.50,0,0
6542,隆中,1,57.00,0,0
6546,正基,1,149.00,-15,0
6547,高端疫苗,1,51.30,0,0
6548,長科*,1,35.05,-2,0
6556,勝品,1,83.10,0,0
6560,欣普羅,1,31.80,0,0
6561,是方,1,451.00,-10,0
6568,宏觀,1,161.50,167,0
6569,醫揚,1,175.50,0,0
6570,維田,1,55.40,0,0
6574,霈方,1, ---,0,0
6576,逸達,1,80.00,0,0
6577,勁豐,1,94.10,0,0
6578,達邦蛋白,1,18.45,0,0
6584,南俊國際,1,133.00,0,0
6588,東典光電,1,36.30,0,0
6589,台康生技,1,83.50,0,0
6590,普鴻,1,79.40,0,0
6593,台灣銘板,1,62.20,0,0
6596,寬宏藝術,1,89.30,0,0
6603,富強鑫,1,16.60,0,0
6609,瀧澤科,1,70.20,0,0
6612,奈米醫材,1,132.00,0,0
6613,朋億*,1,249.00,118,-7
6615,慧智,1,41.50,0,0
6616,特昇-KY,1,10.80,0,0
6617,共信-KY,1,116.50,0,0
6624,萬年清,1,37.75,0,0
6629,泰金-KY,1,117.50,0,0
6637,醫影,1,90.30,0,0
6640,均華,1,499.00,-547,0
6642,富致,1,65.10,0,0
6643,M31,1,700.00,-29,0
6649,台生材,1,38.40,0,0
6651,全宇昕,1,95.20,0,0
6654,天正國際,1,46.80,0,0
6661,威健生技,1,23.80,0,0
6662,樂斯科,1,35.20,0,0
6664,群翊,1,225.00,-1,0
6667,信紘科,1,170.00,0,0
6679,鈺太,1,324.00,90,90
